Character,Energy,Fighting,Strength,Intellect,Threat,Special
Absorbing Man,5,5,7,1,18,Molecular Mimic from reserve
Acolytes,7,6,3,3,19,Fabien Cortez from reserve
Adam Warlock,7,2,5,6,20,
Alpha Flight,4,7,4,6,21,
Angel: Horseman of Apocalypse,5,7,6,2,20,
Angel: The Fallen,6,7,4,3,20,
Apocalypse,5,5,7,6,23,
Aquaman (H),2,5,6,6,19,
Azrael (H),5,8,3,3,19,
Backlash,5,6,5,6,18,
"Backlash, Future",6,4,3,7,20,
Bane (V),1,6,6,6,19,
Banshee,7,5,3,5,20,
Baron Mordo,7,3,2,6,18,
Bastion,3,2,4,7,16,
Batman (H),2,7,4,7,20,
Beast,2,5,6,7,20,
Beast: The Brute,3,6,7,1,17,
Beta Ray Bill,5,4,7,6,22,
Beyonder,8,8,8,8,28,
Bishop,6,7,4,3,20,
Black Canary (H),3,7,3,5,18,
Black Cat,3,6,3,4,16,
Black King,3,3,6,7,19,
Black Panther,2,7,5,6,20,
Black Widow,4,7,3,6,20,Defense Tactics from reserve
Blob,4,5,6,1,16,
Blue Beetle (H),4,6,4,5,19,Team +2 venture per battle
Booster Gold (H),6,4,5,3,18,
Brainiac (V),8,1,4,7,20,
Brass,7,5,6,3,21,
Brood,3,6,6,4,19,
Bullseye,4,8,4,2,18,
Cable,7,7,4,5,23,
Callisto,2,6,3,5,16,Caliban from reserve
Captain America,2,8,4,6,20,
Captain Atom (H),7,6,4,3,20,Fighting teamwork from reserve
Captain Britain,4,4,7,6,21,
Captain Mar-Vell,6,6,6,4,22,Switch with reserve
Captain Marvel (H),5,4,7,2,18,
Carnage,5,7,4,2,18,
Catwoman (V),3,6,2,6,17,
Cerebro,6,3,3,8,20,
Colossus,1,5,7,4,17,
Colossus: Age of Apocalypse ,2,5,7,3,17,
Comm Gordon & the G.C.P.D. (H),4,5,5,6,20,
Crux,6,6,2,3,17,
Crystal,7,4,3,3,17,
Curse,3,5,4,6,18,
